WD08CD,WD08NM,PCO08CD,PCO08NM,
00NNSC,Llanrhaeadr-ym-Mochnant/Llansilin,6C4,Powys Teaching,
00NNSD,Llansantffraid,6C4,Powys Teaching,
00NNSE,Llanwrtyd Wells,6C4,Powys Teaching,
00NNSF,Llanyre,6C4,Powys Teaching,
00NNSG,Machynlleth,6C4,Powys Teaching,
00NNSH,Maescar/Llywel,6C4,Powys Teaching,
00NNSJ,Meifod,6C4,Powys Teaching,
00NNSK,Montgomery,6C4,Powys Teaching,
00NNSL,Nantmel,6C4,Powys Teaching,
00NNSM,Newtown Central,6C4,Powys Teaching,
00NNSN,Newtown East,6C4,Powys Teaching,
00NNSP,Newtown Llanllwchaiarn North,6C4,Powys Teaching,
00NNSQ,Newtown Llanllwchaiarn West,6C4,Powys Teaching,
00NNSR,Newtown South,6C4,Powys Teaching,
00NNST,Old Radnor,6C4,Powys Teaching,
00NNSU,Presteigne,6C4,Powys Teaching,
00NNSW,Rhayader,6C4,Powys Teaching,
00NNSX,Rhiwcynon,6C4,Powys Teaching,
00NNSY,St. David Within,6C4,Powys Teaching,
00NNSZ,St. John,6C4,Powys Teaching,
00NNTA,St. Mary,6C4,Powys Teaching,
00NNTB,Talgarth,6C4,Powys Teaching,
00NNTC,Talybont-on-Usk,6C4,Powys Teaching,
00NNTD,Tawe-Uchaf,6C4,Powys Teaching,
00NNTE,Trewern,6C4,Powys Teaching,
00NNTF,Welshpool Castle,6C4,Powys Teaching,
00NNTG,Welshpool Gungrog,6C4,Powys Teaching,
00NNTH,Welshpool Llanerchyddol,6C4,Powys Teaching,
00NNTJ,Ynyscedwyn,6C4,Powys Teaching,
00NNTK,Yscir,6C4,Powys Teaching,
00NNTL,Ystradgynlais,6C4,Powys Teaching,
00NQNP,Aberaeron,6A4,Ceredigion,
00NQNQ,Aberporth,6A4,Ceredigion,
00NQNR,Aberteifi/Cardigan - Mwldan,6A4,Ceredigion,
00NQNS,Aberteifi/Cardigan - Rhyd-y-Fuwch,6A4,Ceredigion,
00NQNT,Aberteifi/Cardigan - Teifi,6A4,Ceredigion,
00NQNU,Aberystwyth Bronglais,6A4,Ceredigion,
00NQNW,Aberystwyth Canol/Central,6A4,Ceredigion,
00NQNX,Aberystwyth Gogledd/North,6A4,Ceredigion,
00NQNY,Aberystwyth Penparcau,6A4,Ceredigion,
00NQNZ,Aberystwyth Rheidol,6A4,Ceredigion,
00NQPA,Beulah,6A4,Ceredigion,
00NQPB,Borth,6A4,Ceredigion,
00NQPC,Capel Dewi,6A4,Ceredigion,
00NQPD,Ceulanamaesmawr,6A4,Ceredigion,
00NQPE,Ciliau Aeron,6A4,Ceredigion,
00NQPF,Faenor,6A4,Ceredigion,
00NQPG,Lampeter,6A4,Ceredigion,
00NQPH,Llanarth,6A4,Ceredigion,
00NQPJ,Llanbadarn Fawr - Padarn,6A4,Ceredigion,
00NQPK,Llanbadarn Fawr - Sulien,6A4,Ceredigion,
00NQPL,Llandyfriog,6A4,Ceredigion,
00NQPM,Llandysilio-gogo,6A4,Ceredigion,
00NQPN,Llandysul Town,6A4,Ceredigion,
00NQPP,Llanfarian,6A4,Ceredigion,
00NQPQ,Llanfihangel Ystrad,6A4,Ceredigion,
00NQPR,Llangeitho,6A4,Ceredigion,
00NQPS,Llangybi,6A4,Ceredigion,
00NQPT,Llanrhystyd,6A4,Ceredigion,
00NQPU,Llansantffraed,6A4,Ceredigion,
00NQPW,Llanwenog,6A4,Ceredigion,
00NQPX,Lledrod,6A4,Ceredigion,
00NQPY,Melindwr,6A4,Ceredigion,
00NQPZ,New Quay,6A4,Ceredigion,
00NQQA,Penbryn,6A4,Ceredigion,
00NQQB,Pen-parc,6A4,Ceredigion,
00NQQC,Tirymynach,6A4,Ceredigion,
00NQQD,Trefeurig,6A4,Ceredigion,
00NQQE,Tregaron,6A4,Ceredigion,
00NQQF,Troedyraur,6A4,Ceredigion,
00NQQG,Ystwyth,6A4,Ceredigion,
00NSPH,Amroth,6A3,Pembrokeshire,
00NSPJ,Burton,6A3,Pembrokeshire,
00NSPK,Camrose,6A3,Pembrokeshire,
00NSPL,Carew,6A3,Pembrokeshire,
00NSPM,Cilgerran,6A3,Pembrokeshire,
00NSPN,Clydau,6A3,Pembrokeshire,
00NSPP,Crymych,6A3,Pembrokeshire,
00NSPQ,Dinas Cross,6A3,Pembrokeshire,
00NSPR,East Williamston,6A3,Pembrokeshire,
00NSPS,Fishguard North East,6A3,Pembrokeshire,
00NSPT,Fishguard North West,6A3,Pembrokeshire,
00NSPU,Goodwick,6A3,Pembrokeshire,
00NSPW,Haverfordwest: Castle,6A3,Pembrokeshire,
00NSPX,Haverfordwest: Garth,6A3,Pembrokeshire,
00NSPY,Haverfordwest: Portfield,6A3,Pembrokeshire,
00NSPZ,Haverfordwest: Prendergast,6A3,Pembrokeshire,
00NSQA,Haverfordwest: Priory,6A3,Pembrokeshire,
00NSQB,Hundleton,6A3,Pembrokeshire,
00NSQC,Johnston,6A3,Pembrokeshire,
00NSQD,Kilgetty/Begelly,6A3,Pembrokeshire,
00NSQE,Lampeter Velfrey,6A3,Pembrokeshire,
00NSQF,Lamphey,6A3,Pembrokeshire,
00NSQG,Letterston,6A3,Pembrokeshire,
00NSQH,Llangwm,6A3,Pembrokeshire,
00NSQJ,Llanrhian,6A3,Pembrokeshire,
00NSQK,Maenclochog,6A3,Pembrokeshire,
00NSQL,Manorbier,6A3,Pembrokeshire,
00NSQM,Martletwy,6A3,Pembrokeshire,
00NSQN,Merlin's Bridge,6A3,Pembrokeshire,
00NSQP,Milford: Central,6A3,Pembrokeshire,
00NSQQ,Milford: East,6A3,Pembrokeshire,
00NSQR,Milford: Hakin,6A3,Pembrokeshire,
00NSQS,Milford: Hubberston,6A3,Pembrokeshire,
00NSQT,Milford: North,6A3,Pembrokeshire,
00NSQU,Milford: West,6A3,Pembrokeshire,
00NSQW,Narberth,6A3,Pembrokeshire,
00NSQX,Narberth Rural,6A3,Pembrokeshire,
00NSQY,Newport,6A3,Pembrokeshire,
00NSQZ,Neyland: East,6A3,Pembrokeshire,
00NSRA,Neyland: West,6A3,Pembrokeshire,
00NSRB,Pembroke Dock: Central,6A3,Pembrokeshire,
00NSRC,Pembroke Dock: Llanion,6A3,Pembrokeshire,
00NSRD,Pembroke Dock: Market,6A3,Pembrokeshire,
00NSRE,Pembroke Dock: Pennar,6A3,Pembrokeshire,
00NSRF,Pembroke: Monkton,6A3,Pembrokeshire,
00NSRG,Pembroke: St. Mary North,6A3,Pembrokeshire,
00NSRH,Pembroke: St. Mary South,6A3,Pembrokeshire,
00NSRJ,Pembroke: St. Michael,6A3,Pembrokeshire,
00NSRK,Penally,6A3,Pembrokeshire,
00NSRL,Rudbaxton,6A3,Pembrokeshire,
00NSRM,St. David's,6A3,Pembrokeshire,
00NSRN,St. Dogmaels,6A3,Pembrokeshire,
00NSRP,St. Ishmael's,6A3,Pembrokeshire,
00NSRQ,Saundersfoot,6A3,Pembrokeshire,
00NSRR,Scleddau,6A3,Pembrokeshire,
00NSRS,Solva,6A3,Pembrokeshire,
00NSRT,Tenby: North,6A3,Pembrokeshire,
00NSRU,Tenby: South,6A3,Pembrokeshire,
00NSRW,The Havens,6A3,Pembrokeshire,
00NSRX,Wiston,6A3,Pembrokeshire,
00NUPW,Abergwili,6B7,Carmarthenshire,
00NUPX,Ammanford,6B7,Carmarthenshire,
00NUPY,Betws,6B7,Carmarthenshire,
00NUPZ,Bigyn,6B7,Carmarthenshire,
00NUQA,Burry Port,6B7,Carmarthenshire,
00NUQB,Bynea,6B7,Carmarthenshire,
00NUQC,Carmarthen Town North,6B7,Carmarthenshire,
00NUQD,Carmarthen Town South,6B7,Carmarthenshire,
00NUQE,Carmarthen Town West,6B7,Carmarthenshire,
00NUQF,Cenarth,6B7,Carmarthenshire,
00NUQG,Cilycwm,6B7,Carmarthenshire,
00NUQH,Cynwyl Elfed,6B7,Carmarthenshire,
00NUQJ,Cynwyl Gaeo,6B7,Carmarthenshire,
00NUQK,Dafen,6B7,Carmarthenshire,
00NUQL,Elli,6B7,Carmarthenshire,
00NUQM,Felinfoel,6B7,Carmarthenshire,
00NUQN,Garnant,6B7,Carmarthenshire,
00NUQP,Glanamman,6B7,Carmarthenshire,
00NUQQ,Glanymor,6B7,Carmarthenshire,
00NUQR,Glyn,6B7,Carmarthenshire,
00NUQS,Gorslas,6B7,Carmarthenshire,
00NUQT,Hendy,6B7,Carmarthenshire,
00NUQU,Hengoed,6B7,Carmarthenshire,
00NUQW,Kidwelly,6B7,Carmarthenshire,
00NUQX,Laugharne Township,6B7,Carmarthenshire,
00NUQY,Llanboidy,6B7,Carmarthenshire,
00NUQZ,Llanddarog,6B7,Carmarthenshire,
00NURA,Llandeilo,6B7,Carmarthenshire,
00NURB,Llandovery,6B7,Carmarthenshire,
00NURC,Llandybie,6B7,Carmarthenshire,
00NURD,Llanegwad,6B7,Carmarthenshire,
00NURE,Llanfihangel Aberbythych,6B7,Carmarthenshire,
00NURF,Llanfihangel-ar-Arth,6B7,Carmarthenshire,
00NURG,Llangadog,6B7,Carmarthenshire,
00NURH,Llangeler,6B7,Carmarthenshire,
00NURJ,Llangennech,6B7,Carmarthenshire,
00NURK,Llangunnor,6B7,Carmarthenshire,
00NURL,Llangyndeyrn,6B7,Carmarthenshire,
00NURM,Llannon,6B7,Carmarthenshire,
00NURN,Llansteffan,6B7,Carmarthenshire,
00NURP,Llanybydder,6B7,Carmarthenshire,
00NURQ,Lliedi,6B7,Carmarthenshire,
00NURR,Llwynhendy,6B7,Carmarthenshire,
00NURS,Manordeilo and Salem,6B7,Carmarthenshire,
00NURT,Pembrey,6B7,Carmarthenshire,
00NURU,Penygroes,6B7,Carmarthenshire,
00NURW,Pontamman,6B7,Carmarthenshire,
00NURX,Pontyberem,6B7,Carmarthenshire,
00NURY,Quarter Bach,6B7,Carmarthenshire,
00NURZ,St. Clears,6B7,Carmarthenshire,
00NUSA,St. Ishmael,6B7,Carmarthenshire,
00NUSB,Saron,6B7,Carmarthenshire,
00NUSC,Swiss Valley,6B7,Carmarthenshire,
00NUSD,Trelech,6B7,Carmarthenshire,
00NUSE,Trimsaran,6B7,Carmarthenshire,
00NUSF,Tycroes,6B7,Carmarthenshire,
00NUSG,Tyisha,6B7,Carmarthenshire,
00NUSH,Whitland,6B7,Carmarthenshire,
00NXNW,Bishopston,6A6,Swansea,
00NXNX,Bonymaen,6A6,Swansea,
00NXNY,Castle,6A6,Swansea,
00NXNZ,Clydach,6A6,Swansea,
00NXPA,Cockett,6A6,Swansea,
00NXPB,Cwmbwrla,6A6,Swansea,
00NXPC,Dunvant,6A6,Swansea,
00NXPD,Fairwood,6A6,Swansea,
00NXPE,Gorseinon,6A6,Swansea,
00NXPF,Gower,6A6,Swansea,
00NXPG,Gowerton,6A6,Swansea,
00NXPH,Killay North,6A6,Swansea,
00NXPJ,Killay South,6A6,Swansea,
00NXPK,Kingsbridge,6A6,Swansea,
00NXPL,Landore,6A6,Swansea,
00NXPM,Llangyfelach,6A6,Swansea,
00NXPN,Llansamlet,6A6,Swansea,
00NXPP,Lower Loughor,6A6,Swansea,
00NXPQ,Mawr,6A6,Swansea,
00NXPR,Mayals,6A6,Swansea,
00NXPS,Morriston,6A6,Swansea,
00NXPT,Mynyddbach,6A6,Swansea,
00NXPU,Newton,6A6,Swansea,
00NXPW,Oystermouth,6A6,Swansea,
00NXPX,Penclawdd,6A6,Swansea,
00NXPY,Penderry,6A6,Swansea,
00NXPZ,Penllergaer,6A6,Swansea,
00NXQA,Pennard,6A6,Swansea,
00NXQB,Penyrheol,6A6,Swansea,
00NXQC,Pontardulais,6A6,Swansea,
00NXQD,St. Thomas,6A6,Swansea,
00NXQE,Sketty,6A6,Swansea,
00NXQF,Townhill,6A6,Swansea,
00NXQG,Uplands,6A6,Swansea,
00NXQH,Upper Loughor,6A6,Swansea,
00NXQJ,West Cross,6A6,Swansea,
00NZMA,Aberavon,6A5,Neath Port Talbot,
00NZMB,Aberdulais,6A5,Neath Port Talbot,
00NZMC,Allt-wen,6A5,Neath Port Talbot,
