PAR08CD,PAR08NM,WD08CD,WD08NM,
00CE023,Hampole,00CEGP,Sprotbrough,
00CE024,Hatfield,00CEGR,Thorne,
00CE025,Hickleton,00CEGP,Sprotbrough,
00CE026,High Melton,00CEGP,Sprotbrough,
00CE027,Hooton Pagnell,00CEGP,Sprotbrough,
00CE028,Kirk Bramwith,00CEGQ,Stainforth and Moorends,
00CE029,Loversall,00CEGS,Torne Valley,
00CE030,Marr,00CEGP,Sprotbrough,
00CE031,Moss,00CEGQ,Stainforth and Moorends,
00CE032,Norton,00CEGA,Askern Spa,
00CE033,Owston,00CEGA,Askern Spa,
00CE034,Rossington,00CEGN,Rossington,
00CE035,Sprotbrough and Cusworth,00CEGK,Great North Road,
00CE035,Sprotbrough and Cusworth,00CEGP,Sprotbrough,
00CE036,Stainforth,00CEGQ,Stainforth and Moorends,
00CE036,Stainforth,00CEGG,"Edenthorpe, Kirk Sandall and Barnby Dun",
00CE037,Stainton,00CEGS,Torne Valley,
00CE038,Sykehouse,00CEGQ,Stainforth and Moorends,
00CE039,Thorne,00CEGQ,Stainforth and Moorends,
00CE039,Thorne,00CEGR,Thorne,
00CE040,Thorpe in Balne,00CEGQ,Stainforth and Moorends,
00CE041,Tickhill,00CEGS,Torne Valley,
00CE042,Wadworth,00CEGS,Torne Valley,
00CE043,Warmsworth,00CEGH,Edlington and Warmsworth,
00CF001,Aston cum Aughton,00CFGE,Holderness,
00CF001,Aston cum Aughton,00CFGK,Rother Vale,
00CF002,Bramley,00CFGD,Hellaby,
00CF002,Bramley,00CFGU,Wickersley,
00CF002,Bramley,00CFGN,Silverwood,
00CF003,Brampton Bierlow,00CFGF,Hoober,
00CF004,Brinsworth,00CFGB,Brinsworth and Catcliffe,
00CF005,Catcliffe,00CFGB,Brinsworth and Catcliffe,
00CF006,Dalton,00CFGN,Silverwood,
00CF006,Dalton,00CFGR,Valley,
00CF006,Dalton,00CFGU,Wickersley,
00CF007,Dinnington St. John's,00CFGC,Dinnington,
00CF008,Firbeck,00CFGC,Dinnington,
00CF009,Gildingwells,00CFGC,Dinnington,
00CF010,Harthill with Woodall,00CFGS,Wales,
00CF011,Hooton Levitt,00CFGH,Maltby,
00CF012,Hooton Roberts,00CFGN,Silverwood,
00CF013,Letwell,00CFGC,Dinnington,
00CF014,North and South Anston,00CFFZ,Anston and Woodsetts,
00CF015,Orgreave,00CFGK,Rother Vale,
00CF016,Ravenfield,00CFGN,Silverwood,
00CF017,Thorpe Salvin,00CFGS,Wales,
00CF018,Thrybergh,00CFGR,Valley,
00CF018,Thrybergh,00CFGN,Silverwood,
00CF019,Thurcroft,00CFGK,Rother Vale,
00CF019,Thurcroft,00CFGC,Dinnington,
00CF020,Todwick,00CFGS,Wales,
00CF021,Treeton,00CFGK,Rother Vale,
00CF022,Ulley,00CFGK,Rother Vale,
00CF023,Wales,00CFGS,Wales,
00CF024,Wentworth,00CFGF,Hoober,
00CF025,Whiston,00CFGP,Sitwell,
00CF026,Wickersley,00CFGD,Hellaby,
00CF026,Wickersley,00CFGU,Wickersley,
00CF027,Woodsetts,00CFFZ,Anston and Woodsetts,
00CF028,Laughton-en-le-Morthen,00CFGC,Dinnington,
00CF029,Maltby,00CFGH,Maltby,
00CF029,Maltby,00CFGD,Hellaby,
00CG001,Bradfield,00CGHG,Stannington,
00CG001,Bradfield,00CGHH,Stocksbridge and Upper Don,
00CG002,Ecclesfield,00CGGS,East Ecclesfield,
00CG002,Ecclesfield,00CGHK,West Ecclesfield,
00CG003,Stocksbridge,00CGHH,Stocksbridge and Upper Don,
00CH002,Lamesley,00CHGD,Chowdene,
00CH002,Lamesley,00CHGL,Lamesley,
00CJ001,Brunswick,00CJGG,Castle,
00CJ002,Dinnington,00CJGG,Castle,
00CJ003,Hazlerigg,00CJGG,Castle,
00CJ004,North Gosforth,00CJGW,Parklands,
00CJ005,Woolsington,00CJHF,Woolsington,
00CJ006,Blakelaw and North Fenham,00CJGE,Blakelaw,
00CM001,Burdon,00CMGF,Doxford,
00CM002,Hetton,00CMGE,Copt Hill,
00CM002,Hetton,00CMGJ,Hetton,
00CM003,Warden Law,00CMGE,Copt Hill,
00CN001,New Frankley in Birmingham,00CNHK,Longbridge,
00CQ001,Allesley,00CQFU,Bablake,
00CQ002,Keresley,00CQFU,Bablake,
00CT001,Balsall,00CTGB,Knowle,
00CT001,Balsall,00CTGD,Meriden,
00CT002,Barston,00CTFT,Bickenhill,
00BL001,Blackrod,00BLGH,Horwich and Blackrod,
00BL002,Horwich,00BLGH,Horwich and Blackrod,
00BL002,Horwich,00BLGJ,Horwich North East,
00BL003,Westhoughton,00BLGR,Westhoughton North and Chew Moor,
00BL003,Westhoughton,00BLGS,Westhoughton South,
00BN001,Ringway,00BNHU,Woodhouse Park,
00BP001,Saddleworth,00BPGK,Saddleworth North,
00BP001,Saddleworth,00BPGL,Saddleworth South,
00BP001,Saddleworth,00BPGM,Saddleworth West and Lees,
00BP002,Shaw and Crompton,00BPGQ,Shaw,
00BP002,Shaw and Crompton,00BPGC,Crompton,
00BS001,Offerton Park,00BSGR,Offerton,
00BT001,Mossley,00BTGM,Mossley,
00BU001,Carrington,00BUGD,Bucklow-St Martins,
00BU002,Dunham Massey,00BUGA,Bowdon,
00BU003,Partington,00BUGD,Bucklow-St Martins,
00BU004,Warburton,00BUGA,Bowdon,
00BW001,Haigh,00BWGD,Aspull New Springs Whelley,
00BW002,Shevington,00BWGW,Shevington with Lower Ground,
00BW003,Worthington,00BWGD,Aspull New Springs Whelley,
00BX001,Cronton,00BXGU,Whiston South,
00BX002,Halewood,00BXGC,Halewood West,
00BX002,Halewood,00BXGB,Halewood South,
00BX002,Halewood,00BXGA,Halewood North,
00BX003,Knowsley,00BXGE,Longview,
00BX003,Knowsley,00BXGK,Prescot West,
00BX003,Knowsley,00BXGR,Stockbridge,
00BX004,Prescot,00BXGJ,Prescot East,
00BX004,Prescot,00BXGK,Prescot West,
00BX006,Tarbock,00BXGA,Halewood North,
00BX006,Tarbock,00BXGN,St Gabriels,
00BX007,Whiston,00BXGT,Whiston North,
00BX007,Whiston,00BXGU,Whiston South,
00BZ001,Billinge Chapel End,00BZFU,Billinge and Seneley Green,
00BZ002,Bold,00BZFX,Bold,
00BZ003,Eccleston,00BZFZ,Eccleston,
00BZ004,Rainford,00BZGE,Rainford,
00BZ005,Rainhill,00BZGF,Rainhill,
00BZ006,Seneley Green,00BZFU,Billinge and Seneley Green,
00BZ007,Windle,00BZGE,Rainford,
00BZ007,Windle,00BZGL,Windle,
00CA001,Aintree Village,00CAHP,Molyneux,
00CA002,Ince Blundell,00CAHT,Ravenmeols,
00CA003,Little Altcar,00CAHT,Ravenmeols,
00CA004,Lydiate,00CAHS,Park,
00CT003,Berkswell,00CTGD,Meriden,
00CT004,Bickenhill,00CTFT,Bickenhill,
00CT005,Castle Bromwich,00CTFW,Castle Bromwich,
00CT006,Chelmsley Wood,00CTFT,Bickenhill,
00CT006,Chelmsley Wood,00CTFX,Chelmsley Wood,
00CT007,Fordbridge,00CTFX,Chelmsley Wood,
00CT007,Fordbridge,00CTGA,Kingshurst and Fordbridge,
00CT008,Hampton in Arden,00CTFT,Bickenhill,
00CT009,Hockley Heath,00CTFU,Blythe,
00CT009,Hockley Heath,00CTFY,Dorridge and Hockley Heath,
00CT010,Kingshurst,00CTGA,Kingshurst and Fordbridge,
00CT010,Kingshurst,00CTGL,Smith's Wood,
00CT011,Meriden,00CTGD,Meriden,
00CT012,Smith's Wood,00CTGL,Smith's Wood,
00CX001,Addingham,00CXGR,Craven,
00CX002,Cullingworth,00CXGK,Bingley Rural,
00CX003,Denholme,00CXGK,Bingley Rural,
00CX004,Ilkley,00CXGX,Ilkley,
00CX005,Oxenhope,00CXHN,Worth Valley,
00CX006,Silsden,00CXGR,Craven,
00CX007,Steeton with Eastburn,00CXGR,Craven,
00CX008,"Haworth, Cross Roads and Stanbury",00CXHN,Worth Valley,
00CX009,Keighley,00CXGY,Keighley Central,
00CX009,Keighley,00CXGZ,Keighley East,
00CX009,Keighley,00CXHA,Keighley West,
00CX009,Keighley,00CXHN,Worth Valley,
00CX010,Clayton,00CXGQ,Clayton and Fairweather Green,
00CX011,Sandy Lane,00CXHG,Thornton and Allerton,
00CX012,Wilsden,00CXGK,Bingley Rural,
00CX013,Wrose,00CXHM,Windhill and Wrose,
00CX014,Burley,00CXHK,Wharfedale,
00CX015,Menston,00CXHK,Wharfedale,
00CX016,Baildon,00CXGH,Baildon,
00CX016,Baildon,00CXHF,Shipley,
00CX017,Harden,00CXGK,Bingley Rural,
00CY001,Blackshaw,00CYFW,Calder,
00CY002,Erringden,00CYFW,Calder,
00CY003,Hebden Royd,00CYFW,Calder,
00CY003,Hebden Royd,00CYGB,Luddendenfoot,
00CY004,Heptonstall,00CYFW,Calder,
00CY005,Ripponden,00CYGG,Ryburn,
00CY006,Todmorden,00CYFW,Calder,
00CY006,Todmorden,00CYGK,Todmorden,
00CY007,Wadsworth,00CYFW,Calder,
00CZ001,Denby Dale,00CZGL,Denby Dale,
00CZ002,Holme Valley,00CZGT,Holme Valley North,
00CZ002,Holme Valley,00CZGU,Holme Valley South,
00CZ003,Kirkburton,00CZGB,Almondbury,
00CZ003,Kirkburton,00CZGW,Kirkburton,
00CZ003,Kirkburton,00CZGK,Dalton,
00CZ004,Meltham,00CZGT,Holme Valley North,
00CZ005,Mirfield,00CZGZ,Mirfield,
00DA001,Aberford,00DAHC,Harewood,
00DA002,Arthington,00DAGL,Adel and Wharfedale,
00DA003,Austhorpe,00DAGZ,Garforth and Swillington,
00DA004,Bardsey cum Rigton,00DAHC,Harewood,
00DA005,Barwick in Elmet and Scholes,00DAHC,Harewood,
00DA006,Boston Spa,00DAHW,Wetherby,
00DA007,Bramham cum Oglethorpe,00DAHW,Wetherby,
00DA008,Bramhope,00DAGL,Adel and Wharfedale,
00DA009,Carlton,00DAHP,Otley and Yeadon,
00DA010,Clifford,00DAHW,Wetherby,
00DA011,Collingham,00DAHC,Harewood,
00DA012,East Keswick,00DAHC,Harewood,
00DA013,Great and Little Preston,00DAGZ,Garforth and Swillington,
00DA014,Harewood,00DAGM,Alwoodley,
00DA014,Harewood,00DAHC,Harewood,
00DA015,Ledsham,00DAHH,Kippax and Methley,
00DA016,Ledston,00DAHH,Kippax and Methley,
00DA017,Lotherton cum Aberford,00DAHC,Harewood,
00DA018,Micklefield,00DAHH,Kippax and Methley,
00DA019,Otley,00DAHP,Otley and Yeadon,
00DA020,Parlington,00DAHC,Harewood,
00DA021,Pool,00DAGL,Adel and Wharfedale,
00DA022,Scarcroft,00DAHC,Harewood,
00DA023,Sturton Grange,00DAGZ,Garforth and Swillington,
00DA024,Swillington,00DAGZ,Garforth and Swillington,
00DA025,Thorner,00DAHC,Harewood,
00DA026,Thorp Arch,00DAHW,Wetherby,
00DA027,Walton,00DAHW,Wetherby,
00DA028,Wetherby,00DAHW,Wetherby,
00DA029,Wothersome,00DAHC,Harewood,
00DA030,Morley,00DAHN,Morley South,
00DA030,Morley,00DAHM,Morley North,
00DA031,Allerton Bywater,00DAHH,Kippax and Methley,
00DA032,Horsforth,00DAHE,Horsforth,
00DA033,Shadwell,00DAHC,Harewood,
00DA034,Kippax,00DAHH,Kippax and Methley,
00DA035,Drighlington,00DAHM,Morley North,
00DA036,Gildersome,00DAHM,Morley North,
00DA037,Alwoodley,00DAGM,Alwoodley,
00DB001,Ackworth,00DBFY,"Ackworth, North Elmsall and Upton",
00DB002,Badsworth,00DBFY,"Ackworth, North Elmsall and Upton",
00DB003,Chevet,00DBGC,"Crofton, Ryhill and Walton",
00DB004,Crigglestone,00DBGR,Wakefield Rural,
00DB005,Crofton,00DBGC,"Crofton, Ryhill and Walton",
00DB006,Darrington,00DBGL,Pontefract South,
00DB007,East Hardwick,00DBGL,Pontefract South,
00DB008,Featherstone,00DBGA,Altofts and Whitwood,
00DB008,Featherstone,00DBGD,Featherstone,
00DB008,Featherstone,00DBGH,Normanton,
00DB009,Havercroft with Cold Hiendley,00DBGC,"Crofton, Ryhill and Walton",
00DB010,Hemsworth,00DBGE,Hemsworth,
00DB011,Hessle and Hill Top,00DBFY,"Ackworth, North Elmsall and Upton",
00DB012,Huntwick with Foulby and Nostell,00DBFY,"Ackworth, North Elmsall and Upton",
00DB013,Newland with Woodhouse Moor,00DBGH,Normanton,
00DB014,Normanton,00DBGA,Altofts and Whitwood,
00DB014,Normanton,00DBGH,Normanton,
00DB015,North Elmsall,00DBFY,"Ackworth, North Elmsall and Upton",
00DB016,Notton,00DBGC,"Crofton, Ryhill and Walton",
00DB017,Ryhill,00DBGC,"Crofton, Ryhill and Walton",
00DB018,Sharlston,00DBGD,Featherstone,
00DB019,Sitlington,00DBGR,Wakefield Rural,
00DB020,South Elmsall,00DBGM,South Elmsall and South Kirkby,
00DB021,South Hiendley,00DBGE,Hemsworth,
00DB022,South Kirkby and Moorthorpe,00DBGM,South Elmsall and South Kirkby,
00DB023,Thorpe Audlin,00DBFY,"Ackworth, North Elmsall and Upton",
00DB024,Upton,00DBFY,"Ackworth, North Elmsall and Upton",
00DB025,Walton,00DBGC,"Crofton, Ryhill and Walton",
00DB026,Warmfield cum Heath,00DBGH,Normanton,
00DB027,West Bretton,00DBGR,Wakefield Rural,
00DB028,West Hardwick,00DBFY,"Ackworth, North Elmsall and Upton",
00DB029,Wintersett,00DBGC,"Crofton, Ryhill and Walton",
00DB030,Woolley,00DBGR,Wakefield Rural,
00EB001,Brierton,00EBMX,Elwick,
00EB002,Claxton,00EBMX,Elwick,
00EB003,Dalton Piercy,00EBMX,Elwick,
00EB004,Elwick,00EBMX,Elwick,
00EB005,Greatham,00EBNB,Greatham,
00EB006,Hart,00EBMX,Elwick,
00EB007,Newton Bewley,00EBMX,Elwick,
00EB008,Headland,00EBNH,St Hilda,
00EC001,Nunthorpe,00ECNU,Nunthorpe,
00EC002,Stainton and Thornton,00ECNZ,Stainton and Thornton,
00EE001,Guisborough,00EENE,Guisborough,
00EE001,Guisborough,00EENF,Hutton,
00EE001,Guisborough,00EENW,Westworth,
00EE002,Lockwood,00EENH,Lockwood,
00EE002,Lockwood,00EENW,Westworth,
00EE003,Loftus,00EEMZ,Brotton,
00EE003,Loftus,00EENJ,Loftus,
00EE004,"Saltburn, Marske and New Marske",00EENK,Longbeck,
00EE004,"Saltburn, Marske and New Marske",00EENP,St Germain's,
00EE004,"Saltburn, Marske and New Marske",00EENQ,Saltburn,
00EE005,Skelton and Brotton,00EENR,Skelton,
00EE005,Skelton and Brotton,00EEMZ,Brotton,
00EF001,Aislaby,00EFNP,Eaglescliffe,
00EF002,Carlton,00EFPJ,Western Parishes,
00EF003,Castlelevington,00EFPK,Yarm,
00EF004,Egglescliffe,00EFNP,Eaglescliffe,
00EF005,Elton,00EFPJ,Western Parishes,
00EF006,Grindon,00EFNZ,Northern Parishes,
00EF007,Hilton,00EFNU,Ingleby Barwick East,
00EF008,Ingleby Barwick,00EFNU,Ingleby Barwick East,
00EF008,Ingleby Barwick,00EFNW,Ingleby Barwick West,
00EF009,Kirklevington,00EFPK,Yarm,
00EF010,Longnewton,00EFPJ,Western Parishes,
00EF011,Maltby,00EFNU,Ingleby Barwick East,
00EF012,Newsham,00EFNP,Eaglescliffe,
00EF013,Preston-on-Tees,00EFNP,Eaglescliffe,
00EF014,Redmarshall,00EFPJ,Western Parishes,
00EF015,Stillington and Whitton,00EFPJ,Western Parishes,
00EF016,Thornaby,00EFNX,Mandale and Victoria,
00EF016,Thornaby,00EFPF,Stainsby Hill,
00EF016,Thornaby,00EFPH,Village,
00EF017,Wolviston,00EFNZ,Northern Parishes,
00EF018,Yarm,00EFPK,Yarm,
00EF019,Billingham,00EFNM,Billingham West,
00EF019,Billingham,00EFNL,Billingham South,
00EF019,Billingham,00EFNK,Billingham North,
00EF019,Billingham,00EFNH,Billingham Central,
00EF019,Billingham,00EFNJ,Billingham East,
00EH001,Archdeacon Newton,00EHNJ,Faverdale,
00EH001,Archdeacon Newton,00EHNP,Heighington and Coniscliffe,
00EH002,Barmpton,00EHPC,Sadberge and Whessoe,
00EH003,Bishopton,00EHPC,Sadberge and Whessoe,
00EH004,Brafferton,00EHPC,Sadberge and Whessoe,
00EH005,Coatham Mundeville,00EHPC,Sadberge and Whessoe,
00EH006,Denton,00EHNP,Heighington and Coniscliffe,
00EH007,East and West Newbiggin,00EHPC,Sadberge and Whessoe,
00EH008,Great Burdon,00EHPC,Sadberge and Whessoe,
00EH009,Great Stainton,00EHPC,Sadberge and Whessoe,
00EH010,Heighington,00EHNP,Heighington and Coniscliffe,
00EH011,High Coniscliffe,00EHNP,Heighington and Coniscliffe,
00EH012,Houghton le Side,00EHNP,Heighington and Coniscliffe,
00EH013,Hurworth,00EHNR,Hurworth,
00EH014,Killerby,00EHNP,Heighington and Coniscliffe,
00EH015,Little Stainton,00EHPC,Sadberge and Whessoe,
00EH016,Low Coniscliffe and Merrybent,00EHNP,Heighington and Coniscliffe,
00EH017,Low Dinsdale,00EHNU,Middleton St George,
00EH018,Middleton St. George,00EHNU,Middleton St George,
00EH019,Morton Palms,00EHPC,Sadberge and Whessoe,
00EH020,Neasham,00EHNR,Hurworth,
00EH021,Piercebridge,00EHNP,Heighington and Coniscliffe,
00EH022,Sadberge,00EHPC,Sadberge and Whessoe,
00EH023,Sockburn,00EHNR,Hurworth,
00EH024,Summerhouse,00EHNP,Heighington and Coniscliffe,
00EH025,Walworth,00EHNP,Heighington and Coniscliffe,
00EH026,Whessoe,00EHNK,Harrowgate Hill,
00EH026,Whessoe,00EHPC,Sadberge and Whessoe,
00ET001,Daresbury,00ETND,Daresbury,
00ET002,Hale,00ETNH,Hale,
00ET003,Moore,00ETND,Daresbury,
00ET004,Preston Brook,00ETND,Daresbury,
00ET005,Halebank,00ETNE,Ditton,
00ET006,Sandymoor,00ETND,Daresbury,
00EU001,Appleton,00EUNB,Appleton,
00EU002,Birchwood,00EUND,Birchwood,
00EU003,Burtonwood and Westbrook,00EUNE,Burtonwood and Winwick,
00EU003,Burtonwood and Westbrook,00EUNY,Westbrook,
00EU003,Burtonwood and Westbrook,00EUNZ,Whittle Hall,
00EU004,Croft,00EUNF,"Culcheth, Glazebury and Croft",
00EU005,Cuerdley,00EUNR,Penketh and Cuerdley,
00EU006,Culcheth and Glazebury,00EUNF,"Culcheth, Glazebury and Croft",
00EU007,Grappenhall and Thelwall,00EUNH,Grappenhall and Thelwall,
00EU008,Great Sankey,00EUNJ,Great Sankey North,
00EU008,Great Sankey,00EUNK,Great Sankey South,
00EU008,Great Sankey,00EUNZ,Whittle Hall,
00EU009,Hatton,00EUNL,"Hatton, Stretton and Walton",
00EU010,Lymm,00EUNP,Lymm,
00EU011,Penketh,00EUNR,Penketh and Cuerdley,
00EU012,Poulton-with-Fearnhead,00EUNT,Poulton North,
00EU012,Poulton-with-Fearnhead,00EUNU,Poulton South,
00EU013,Rixton-with-Glazebrook,00EUNW,Rixton and Woolston,
00EU014,Stockton Heath,00EUNX,Stockton Heath,
00EU015,Stretton,00EUNL,"Hatton, Stretton and Walton",
00EU016,Walton,00EUNL,"Hatton, Stretton and Walton",
00EU017,Winwick,00EUNE,Burtonwood and Winwick,
00EU017,Winwick,00EUNS,Poplars and Hulme,
00EU018,Woolston,00EUNW,Rixton and Woolston,
00EX001,Eccleshill,00EXNE,East Rural,
00EX002,Livesey,00EXNK,Livesey with Pleasington,
00EX003,North Turton,00EXNP,North Turton with Tockholes,
00EX004,Pleasington,00EXNK,Livesey with Pleasington,
00EX005,Tockholes,00EXNP,North Turton with Tockholes,
00EX006,Yate and Pickup Bank,00EXNE,East Rural,
00FB001,Airmyn,00FBNZ,"Snaith, Airmyn, Rawcliffe and Marshland",
00FB002,Aldbrough,00FBNT,Mid Holderness,
00FB003,Allerthorpe,00FBPF,Wolds Weighton,
00FB004,Asselby,00FBNR,Howden,
00FB005,Atwick,00FBNW,North Holderness,
00FB006,Bainton,00FBNL,Driffield and Rural,
00FB007,Barmby Moor,00FBNX,Pocklington Provincial,
00FB008,Barmby on the Marsh,00FBNR,Howden,
00FB009,Barmston,00FBNM,East Wolds and Coastal,
00FB010,Beeford,00FBNM,East Wolds and Coastal,
00FB011,Bielby,00FBPF,Wolds Weighton,
00FB012,Bempton,00FBNE,Bridlington Central and Old Town,
00FB013,Beswick,00FBND,Beverley Rural,
00FB014,Bewholme,00FBNW,North Holderness,
00FB015,Bilton,00FBNT,Mid Holderness,
00FB016,Bishop Burton,00FBND,Beverley Rural,
00FB017,Bishop Wilton,00FBPF,Wolds Weighton,
00FB018,Blacktoft,00FBNS,Howdenshire,
00FB019,Boynton,00FBNE,Bridlington Central and Old Town,
00FB020,Brandesburton,00FBNM,East Wolds and Coastal,
00FB021,Brantingham,00FBNK,Dale,
00FB022,Broomfleet,00FBNS,Howdenshire,
00FB023,Bubwith,00FBNS,Howdenshire,
00FB024,Bugthorpe,00FBPF,Wolds Weighton,
00FB025,Burstwick,00FBNT,Mid Holderness,
00FB026,Burton Agnes,00FBNM,East Wolds and Coastal,
00FB027,Burton Constable,00FBNT,Mid Holderness,
00FB028,Burton Fleming,00FBNM,East Wolds and Coastal,
00FB029,Burton Pidsea,00FBNT,Mid Holderness,
00FB030,Carnaby,00FBNM,East Wolds and Coastal,
00FB031,Catton,00FBNX,Pocklington Provincial,
00FB032,Catwick,00FBNT,Mid Holderness,
00FB033,Cherry Burton,00FBND,Beverley Rural,
00FB034,Coniston,00FBNT,Mid Holderness,
00FB035,Cottam,00FBNL,Driffield and Rural,
00FB036,Cottingwith,00FBPF,Wolds Weighton,
00FB037,Dalton Holme,00FBND,Beverley Rural,
00FB038,Driffield,00FBNL,Driffield and Rural,
00FB039,Easington,00FBPA,South East Holderness,
00FB040,East Garton,00FBNT,Mid Holderness,
00FB041,Eastrington,00FBNS,Howdenshire,
00FB042,Ellerby,00FBNT,Mid Holderness,
00FB043,Ellerker,00FBNK,Dale,
00FB044,Ellerton,00FBNS,Howdenshire,
00FB045,Elloughton-cum-Brough,00FBNK,Dale,
00FB046,Elstronwick,00FBNT,Mid Holderness,
00FB047,Etton,00FBND,Beverley Rural,
00FB048,Everingham,00FBPF,Wolds Weighton,
00FB049,Fangfoss,00FBPF,Wolds Weighton,
00FB050,Fimber,00FBNL,Driffield and Rural,
00FB051,Flamborough,00FBNF,Bridlington North,
00FB052,Foggathorpe,00FBNS,Howdenshire,
00FB053,Foston,00FBNM,East Wolds and Coastal,
00FB054,Fridaythorpe,00FBPF,Wolds Weighton,
00FB055,Full Sutton,00FBPF,Wolds Weighton,
00FB056,Garton,00FBNL,Driffield and Rural,
00FB057,Gilberdyke,00FBNS,Howdenshire,
00FB058,Goodmanham,00FBPF,Wolds Weighton,
00FB059,Goole,00FBNN,Goole North,
00FB059,Goole,00FBNP,Goole South,
00FB060,Goole Fields,00FBNZ,"Snaith, Airmyn, Rawcliffe and Marshland",
00FB061,Gowdall,00FBNZ,"Snaith, Airmyn, Rawcliffe and Marshland",
00FB062,Grindale,00FBNE,Bridlington Central and Old Town,
00FB063,Halsham,00FBPA,South East Holderness,
00FB064,Harpham,00FBNM,East Wolds and Coastal,
00FB065,Hatfield,00FBNT,Mid Holderness,
00FB066,Hayton,00FBPF,Wolds Weighton,
00FB067,Hedon,00FBPC,South West Holderness,
00FB068,Hessle,00FBNQ,Hessle,
00FB069,Hollym,00FBPA,South East Holderness,
00FB070,Holme upon Spalding Moor,00FBNS,Howdenshire,
00FB071,Holmpton,00FBPA,South East Holderness,
00FB072,Hook,00FBNN,Goole North,
00FB073,Hornsea,00FBNW,North Holderness,
00FB074,Hotham,00FBNS,Howdenshire,
00FB075,Howden,00FBNR,Howden,
00FB076,Huggate,00FBPF,Wolds Weighton,
00FB077,Humbleton,00FBNT,Mid Holderness,
00FB078,Hutton Cranswick,00FBNM,East Wolds and Coastal,
00FB079,Kelk,00FBNM,East Wolds and Coastal,
00FB080,Keyingham,00FBPA,South East Holderness,
00FB081,Kilham,00FBNM,East Wolds and Coastal,
00FB082,Kilpin,00FBNS,Howdenshire,
00FB083,Kirby Underdale,00FBPF,Wolds Weighton,
00FB084,Kirkburn,00FBNL,Driffield and Rural,
00FB085,Langtoft,00FBNM,East Wolds and Coastal,
00FB086,Laxton,00FBNS,Howdenshire,
00FB087,Leconfield,00FBND,Beverley Rural,
00FB088,Leven,00FBND,Beverley Rural,
00FB089,Lockington,00FBND,Beverley Rural,
00FB090,Londesborough,00FBPF,Wolds Weighton,
00FB091,Lund,00FBND,Beverley Rural,
00FB092,Mappleton,00FBNW,North Holderness,
00FB093,Market Weighton,00FBPF,Wolds Weighton,
00FB094,Melbourne,00FBPF,Wolds Weighton,
00FB095,Middleton,00FBND,Beverley Rural,
00FB096,Millington,00FBPF,Wolds Weighton,
00FB097,Molescroft,00FBNY,St Mary's,
00FB098,Nafferton,00FBNM,East Wolds and Coastal,
