WD08CD,WD08NM,REGD08CD,REGD08NM,PAR08CD,PAR08NM
00ADGH,Crayford,220,Bexley,,
00ADGJ,Cray Meadows,220,Bexley,,
00ADGK,Danson Park,220,Bexley,,
00ADGL,East Wickham,220,Bexley,,
00ADGM,Erith,220,Bexley,,
00ADGN,Falconwood and Welling,220,Bexley,,
00ADGP,Lesnes Abbey,220,Bexley,,
00ADGQ,Longlands,220,Bexley,,
00ADGR,North End,220,Bexley,,
00ADGS,Northumberland Heath,220,Bexley,,
00ADGT,St Mary's,220,Bexley,,
00ADGU,St Michael's,220,Bexley,,
00ADGW,Sidcup,220,Bexley,,
00ADGX,Thamesmead East,220,Bexley,,
00AEGJ,Alperton,221,Brent,,
00AEGK,Barnhill,221,Brent,,
00AEGL,Brondesbury Park,221,Brent,,
00AEGM,Dollis Hill,221,Brent,,
00AEGN,Dudden Hill,221,Brent,,
00AEGP,Fryent,221,Brent,,
00AEGQ,Harlesden,221,Brent,,
00AEGR,Kensal Green,221,Brent,,
00AEGS,Kenton,221,Brent,,
00AEGT,Kilburn,221,Brent,,
00AEGU,Mapesbury,221,Brent,,
00AEGW,Northwick Park,221,Brent,,
00AEGX,Preston,221,Brent,,
00AEGY,Queens Park,221,Brent,,
00AEGZ,Queensbury,221,Brent,,
00AEHA,Stonebridge,221,Brent,,
00AEHB,Sudbury,221,Brent,,
00AEHC,Tokyngton,221,Brent,,
00AEHD,Welsh Harp,221,Brent,,
00AEHE,Wembley Central,221,Brent,,
00AEHF,Willesden Green,221,Brent,,
00AFGD,Bickley,222,Bromley,,
00AFGE,Biggin Hill,222,Bromley,,
00AFGF,Bromley Common and Keston,222,Bromley,,
00AFGG,Bromley Town,222,Bromley,,
00AFGH,Chelsfield and Pratts Bottom,222,Bromley,,
00AFGJ,Chislehurst,222,Bromley,,
00AFGK,Clock House,222,Bromley,,
00AFGL,Copers Cope,222,Bromley,,
00AFGM,Cray Valley East,222,Bromley,,
00AFGN,Cray Valley West,222,Bromley,,
00AFGP,Crystal Palace,222,Bromley,,
00AFGQ,Darwin,222,Bromley,,
00AFGR,Farnborough and Crofton,222,Bromley,,
00AFGS,Hayes and Coney Hall,222,Bromley,,
00AFGT,Kelsey and Eden Park,222,Bromley,,
00AFGU,Mottingham and Chislehurst North,222,Bromley,,
00AFGW,Orpington,222,Bromley,,
00AFGX,Penge and Cator,222,Bromley,,
00AFGY,Petts Wood and Knoll,222,Bromley,,
00AFGZ,Plaistow and Sundridge,222,Bromley,,
00AFHA,Shortlands,222,Bromley,,
00AFHB,West Wickham,222,Bromley,,
00AGGD,Belsize,250,Camden,,
00AGGE,Bloomsbury,250,Camden,,
00AGGF,Camden Town with Primrose Hill,250,Camden,,
00AGGG,Cantelowes,250,Camden,,
00AGGH,Fortune Green,250,Camden,,
00AGGJ,Frognal and Fitzjohns,250,Camden,,
00AGGK,Gospel Oak,250,Camden,,
00AGGL,Hampstead Town,250,Camden,,
00AGGM,Haverstock,250,Camden,,
00AGGN,Highgate,250,Camden,,
00AGGP,Holborn and Covent Garden,250,Camden,,
00AGGQ,Kentish Town,250,Camden,,
00AGGR,Kilburn,250,Camden,,
00AGGS,King's Cross,250,Camden,,
00AGGT,Regent's Park,250,Camden,,
00AGGU,St Pancras and Somers Town,250,Camden,,
00AGGW,Swiss Cottage,250,Camden,,
00AGGX,West Hampstead,250,Camden,,
00AHGE,Addiscombe,225,Croydon,,
00AHGF,Ashburton,225,Croydon,,
00AHGG,Bensham Manor,225,Croydon,,
00AHGH,Broad Green,225,Croydon,,
00AHGJ,Coulsdon East,225,Croydon,,
00AHGK,Coulsdon West,225,Croydon,,
00AHGL,Croham,225,Croydon,,
00AHGM,Fairfield,225,Croydon,,
00AHGN,Fieldway,225,Croydon,,
00AHGP,Heathfield,225,Croydon,,
00AHGQ,Kenley,225,Croydon,,
00AHGR,New Addington,225,Croydon,,
00AHGS,Norbury,225,Croydon,,
00AHGT,Purley,225,Croydon,,
00AHGU,Sanderstead,225,Croydon,,
00AHGW,Selhurst,225,Croydon,,
00AHGX,Selsdon and Ballards,225,Croydon,,
00AHGY,Shirley,225,Croydon,,
00AHGZ,South Norwood,225,Croydon,,
00AHHA,Thornton Heath,225,Croydon,,
00AHHB,Upper Norwood,225,Croydon,,
00AHHC,Waddon,225,Croydon,,
00AHHD,West Thornton,225,Croydon,,
00AHHE,Woodside,225,Croydon,,
00AJGC,Acton Central,226,Ealing,,
00AJGD,Cleveland,226,Ealing,,
00AJGE,Dormers Wells,226,Ealing,,
00AJGF,Ealing Broadway,226,Ealing,,
00AJGG,Ealing Common,226,Ealing,,
00AJGH,East Acton,226,Ealing,,
00AJGJ,Elthorne,226,Ealing,,
00AJGK,Greenford Broadway,226,Ealing,,
00AJGL,Greenford Green,226,Ealing,,
00AJGM,Hanger Hill,226,Ealing,,
00AJGN,Hobbayne,226,Ealing,,
00AJGP,Lady Margaret,226,Ealing,,
00AJGQ,Northfield,226,Ealing,,
00AJGR,North Greenford,226,Ealing,,
00AJGS,Northolt Mandeville,226,Ealing,,
00AJGT,Northolt West End,226,Ealing,,
00AJGU,Norwood Green,226,Ealing,,
00AJGW,Perivale,226,Ealing,,
00AJGX,South Acton,226,Ealing,,
00AJGY,Southall Broadway,226,Ealing,,
00AJGZ,Southall Green,226,Ealing,,
00AJHA,Southfield,226,Ealing,,
00AJHB,Walpole,226,Ealing,,
00AKGL,Bowes,227,Enfield,,
00AKGM,Bush Hill Park,227,Enfield,,
00AKGN,Chase,227,Enfield,,
00AKGP,Cockfosters,227,Enfield,,
00AKGQ,Edmonton Green,227,Enfield,,
00AKGR,Enfield Highway,227,Enfield,,
00AKGS,Enfield Lock,227,Enfield,,
00AKGT,Grange,227,Enfield,,
00AKGU,Haselbury,227,Enfield,,
00AKGW,Highlands,227,Enfield,,
00AKGX,Jubilee,227,Enfield,,
00AKGY,Lower Edmonton,227,Enfield,,
00AKGZ,Palmers Green,227,Enfield,,
00AKHA,Ponders End,227,Enfield,,
00AKHB,Southbury,227,Enfield,,
00AKHC,Southgate,227,Enfield,,
00AKHD,Southgate Green,227,Enfield,,
00AKHE,Town,227,Enfield,,
00AKHF,Turkey Street,227,Enfield,,
00AKHG,Upper Edmonton,227,Enfield,,
00AKHH,Winchmore Hill,227,Enfield,,
00ALGP,Abbey Wood,229,Greenwich,,
00ALGQ,Blackheath Westcombe,229,Greenwich,,
00ALGR,Charlton,229,Greenwich,,
00ALGS,Coldharbour and New Eltham,229,Greenwich,,
00ALGT,Eltham North,229,Greenwich,,
00ALGU,Eltham South,229,Greenwich,,
00ALGW,Eltham West,229,Greenwich,,
00ALGX,Glyndon,229,Greenwich,,
00ALGY,Greenwich West,229,Greenwich,,
00ALGZ,Kidbrooke with Hornfair,229,Greenwich,,
00ALHA,Middle Park and Sutcliffe,229,Greenwich,,
00ALHB,Peninsula,229,Greenwich,,
00ALHC,Plumstead,229,Greenwich,,
00ALHD,Shooters Hill,229,Greenwich,,
00ALHE,Thamesmead Moorings,229,Greenwich,,
00ALHF,Woolwich Common,229,Greenwich,,
00ALHG,Woolwich Riverside,229,Greenwich,,
00AMGA,Brownswood,230,Hackney,,
00AMGB,Cazenove,230,Hackney,,
00AMGC,Chatham,230,Hackney,,
00AMGD,Clissold,230,Hackney,,
00AMGE,Dalston,230,Hackney,,
00AMGF,De Beauvoir,230,Hackney,,
00AMGG,Hackney Central,230,Hackney,,
00AMGH,Hackney Downs,230,Hackney,,
00AMGJ,Haggerston,230,Hackney,,
00AMGK,Hoxton,230,Hackney,,
00AMGL,King's Park,230,Hackney,,
00AMGM,Leabridge,230,Hackney,,
00AMGN,Lordship,230,Hackney,,
00AMGP,New River,230,Hackney,,
00AMGQ,Queensbridge,230,Hackney,,
00AMGR,Springfield,230,Hackney,,
00AMGS,Stoke Newington Central,230,Hackney,,
00AMGT,Victoria,230,Hackney,,
00AMGU,Wick,230,Hackney,,
00ANGA,Addison,260,Hammersmith and Fulham,,
00ANGB,Askew,260,Hammersmith and Fulham,,
00ANGC,Avonmore and Brook Green,260,Hammersmith and Fulham,,
00ANGD,College Park and Old Oak,260,Hammersmith and Fulham,,
00ANGE,Fulham Broadway,260,Hammersmith and Fulham,,
00ANGF,Fulham Reach,260,Hammersmith and Fulham,,
00ANGG,Hammersmith Broadway,260,Hammersmith and Fulham,,
00ANGH,Munster,260,Hammersmith and Fulham,,
00ANGJ,North End,260,Hammersmith and Fulham,,
00ANGK,Palace Riverside,260,Hammersmith and Fulham,,
00ANGL,Parsons Green and Walham,260,Hammersmith and Fulham,,
00ANGM,Ravenscourt Park,260,Hammersmith and Fulham,,
00ANGN,Sands End,260,Hammersmith and Fulham,,
00ANGP,Shepherd's Bush Green,260,Hammersmith and Fulham,,
00ANGQ,Town,260,Hammersmith and Fulham,,
00ANGR,Wormholt and White City,260,Hammersmith and Fulham,,
00APGA,Alexandra,233,Haringey,,
00APGB,Bounds Green,233,Haringey,,
00APGC,Bruce Grove,233,Haringey,,
00APGD,Crouch End,233,Haringey,,
00APGE,Fortis Green,233,Haringey,,
00APGF,Harringay,233,Haringey,,
00APGG,Highgate,233,Haringey,,
00APGH,Hornsey,233,Haringey,,
00APGJ,Muswell Hill,233,Haringey,,
00APGK,Noel Park,233,Haringey,,
00APGL,Northumberland Park,233,Haringey,,
00APGM,St Ann's,233,Haringey,,
00APGN,Seven Sisters,233,Haringey,,
00APGP,Stroud Green,233,Haringey,,
00APGQ,Tottenham Green,233,Haringey,,
00APGR,Tottenham Hale,233,Haringey,,
00APGS,West Green,233,Haringey,,
00APGT,White Hart Lane,233,Haringey,,
00APGU,Woodside,233,Haringey,,
00AQFY,Belmont,232,Harrow,,
00AQFZ,Canons,232,Harrow,,
00AQGA,Edgware,232,Harrow,,
00AQGB,Greenhill,232,Harrow,,
00AQGC,Harrow on the Hill,232,Harrow,,
00AQGD,Harrow Weald,232,Harrow,,
00AQGE,Hatch End,232,Harrow,,
00AQGF,Headstone North,232,Harrow,,
00AQGG,Headstone South,232,Harrow,,
00AQGH,Kenton East,232,Harrow,,
00AQGJ,Kenton West,232,Harrow,,
00AQGK,Marlborough,232,Harrow,,
00AQGL,Pinner,232,Harrow,,
00AQGM,Pinner South,232,Harrow,,
00AQGN,Queensbury,232,Harrow,,
00AQGP,Rayners Lane,232,Harrow,,
00AQGQ,Roxbourne,232,Harrow,,
00AQGR,Roxeth,232,Harrow,,
00AQGS,Stanmore Park,232,Harrow,,
00AQGT,Wealdstone,232,Harrow,,
00AQGU,West Harrow,232,Harrow,,
00ARGC,Brooklands,234,Havering,,
00ARGD,Cranham,234,Havering,,
00ARGE,Elm Park,234,Havering,,
00ARGF,Emerson Park,234,Havering,,
00ARGG,Gooshays,234,Havering,,
00ARGH,Hacton,234,Havering,,
00ARGJ,Harold Wood,234,Havering,,
00ARGK,Havering Park,234,Havering,,
00ARGL,Heaton,234,Havering,,
00ARGM,Hylands,234,Havering,,
00ARGN,Mawneys,234,Havering,,
00ARGP,Pettits,234,Havering,,
00ARGQ,Rainham and Wennington,234,Havering,,
00ARGR,Romford Town,234,Havering,,
00ARGS,St Andrew's,234,Havering,,
00ARGT,South Hornchurch,234,Havering,,
00ARGU,Squirrel's Heath,234,Havering,,
00ARGW,Upminster,234,Havering,,
00ASGG,Barnhill,236,Hillingdon,,
00ASGH,Botwell,236,Hillingdon,,
00ASGJ,Brunel,236,Hillingdon,,
00ASGK,Cavendish,236,Hillingdon,,
00ASGL,Charville,236,Hillingdon,,
00ASGM,Eastcote and East Ruislip,236,Hillingdon,,
00ASGN,Harefield,236,Hillingdon,,
00ASGP,Heathrow Villages,236,Hillingdon,,
00ASGQ,Hillingdon East,236,Hillingdon,,
00ASGR,Ickenham,236,Hillingdon,,
00ASGS,Manor,236,Hillingdon,,
00ASGT,Northwood,236,Hillingdon,,
00ASGU,Northwood Hills,236,Hillingdon,,
00ASGW,Pinkwell,236,Hillingdon,,
00ASGX,South Ruislip,236,Hillingdon,,
00ASGY,Townfield,236,Hillingdon,,
00ASGZ,Uxbridge North,236,Hillingdon,,
00ASHA,Uxbridge South,236,Hillingdon,,
00ASHB,West Drayton,236,Hillingdon,,
00ASHC,West Ruislip,236,Hillingdon,,
00ASHD,Yeading,236,Hillingdon,,
00ASHE,Yiewsley,236,Hillingdon,,
00ATFY,Bedfont,237,Hounslow,,
00ATFZ,Brentford,237,Hounslow,,
00ATGA,Chiswick Homefields,237,Hounslow,,
00ATGB,Chiswick Riverside,237,Hounslow,,
00ATGC,Cranford,237,Hounslow,,
00ATGD,Feltham North,237,Hounslow,,
00ATGE,Feltham West,237,Hounslow,,
00ATGF,Hanworth,237,Hounslow,,
00ATGG,Hanworth Park,237,Hounslow,,
00ATGH,Heston Central,237,Hounslow,,
00ATGJ,Heston East,237,Hounslow,,
00ATGK,Heston West,237,Hounslow,,
00ATGL,Hounslow Central,237,Hounslow,,
00ATGM,Hounslow Heath,237,Hounslow,,
00ATGN,Hounslow South,237,Hounslow,,
00ATGP,Hounslow West,237,Hounslow,,
00ATGQ,Isleworth,237,Hounslow,,
00ATGR,Osterley and Spring Grove,237,Hounslow,,
00ATGS,Syon,237,Hounslow,,
00ATGT,Turnham Green,237,Hounslow,,
00AUFX,Barnsbury,238,Islington,,
00AUFY,Bunhill,238,Islington,,
00AUFZ,Caledonian,238,Islington,,
00AUGA,Canonbury,238,Islington,,
00AUGB,Clerkenwell,238,Islington,,
00AUGC,Finsbury Park,238,Islington,,
00AUGD,Highbury East,238,Islington,,
00AUGE,Highbury West,238,Islington,,
00AUGF,Hillrise,238,Islington,,
00AUGG,Holloway,238,Islington,,
00AUGH,Junction,238,Islington,,
00AUGJ,Mildmay,238,Islington,,
00AUGK,St George's,238,Islington,,
00AUGL,St Mary's,238,Islington,,
00AUGM,St Peter's,238,Islington,,
00AUGN,Tollington,238,Islington,,
00AWFY,Abingdon,239,Kensington and Chelsea,,
00AWFZ,Brompton,239,Kensington and Chelsea,,
00AWGA,Campden,239,Kensington and Chelsea,,
00AWGB,Colville,239,Kensington and Chelsea,,
00AWGC,Courtfield,239,Kensington and Chelsea,,
00AWGD,Cremorne,239,Kensington and Chelsea,,
00AWGE,Earl's Court,239,Kensington and Chelsea,,
00AWGF,Golborne,239,Kensington and Chelsea,,
00AWGG,Hans Town,239,Kensington and Chelsea,,
00AWGH,Holland,239,Kensington and Chelsea,,
00AWGJ,Norland,239,Kensington and Chelsea,,
00AWGK,Notting Barns,239,Kensington and Chelsea,,
00AWGL,Pembridge,239,Kensington and Chelsea,,
00AWGM,Queen's Gate,239,Kensington and Chelsea,,
00AWGN,Redcliffe,239,Kensington and Chelsea,,
00AWGP,Royal Hospital,239,Kensington and Chelsea,,
00AWGQ,St Charles,239,Kensington and Chelsea,,
00AWGR,Stanley,239,Kensington and Chelsea,,
00AXFX,Alexandra,240,Kingston upon Thames,,
00AXFY,Berrylands,240,Kingston upon Thames,,
00AXFZ,Beverley,240,Kingston upon Thames,,
00AXGA,Canbury,240,Kingston upon Thames,,
00AXGB,Chessington North and Hook,240,Kingston upon Thames,,
00AXGC,Chessington South,240,Kingston upon Thames,,
00AXGD,Coombe Hill,240,Kingston upon Thames,,
00AXGE,Coombe Vale,240,Kingston upon Thames,,
00AXGF,Grove,240,Kingston upon Thames,,
00AXGG,Norbiton,240,Kingston upon Thames,,
00AXGH,Old Malden,240,Kingston upon Thames,,
00AXGJ,St James,240,Kingston upon Thames,,
00AXGK,St Mark's,240,Kingston upon Thames,,
00AXGL,Surbiton Hill,240,Kingston upon Thames,,
00AXGM,Tolworth and Hook Rise,240,Kingston upon Thames,,
00AXGN,Tudor,240,Kingston upon Thames,,
00AYFZ,Bishop's,241,Lambeth,,
00AYGA,Brixton Hill,241,Lambeth,,
00AYGB,Clapham Common,241,Lambeth,,
00AYGC,Clapham Town,241,Lambeth,,
00AYGD,Coldharbour,241,Lambeth,,
00AYGE,Ferndale,241,Lambeth,,
00AYGF,Gipsy Hill,241,Lambeth,,
00AYGG,Herne Hill,241,Lambeth,,
00AYGH,Knight's Hill,241,Lambeth,,
00AYGJ,Larkhall,241,Lambeth,,
00AYGK,Oval,241,Lambeth,,
00AYGL,Prince's,241,Lambeth,,
00AYGM,St Leonard's,241,Lambeth,,
00AYGN,Stockwell,241,Lambeth,,
00AYGP,Streatham Hill,241,Lambeth,,
00AYGQ,Streatham South,241,Lambeth,,
00AYGR,Streatham Wells,241,Lambeth,,
00AYGS,Thornton,241,Lambeth,,
00AYGT,Thurlow Park,241,Lambeth,,
00AYGU,Tulse Hill,241,Lambeth,,
00AYGW,Vassall,241,Lambeth,,
00AZGD,Bellingham,242,Lewisham,,
00AZGE,Blackheath,242,Lewisham,,
00AZGF,Brockley,242,Lewisham,,
00AZGG,Catford South,242,Lewisham,,
00AZGH,Crofton Park,242,Lewisham,,
00AZGJ,Downham,242,Lewisham,,
00AZGK,Evelyn,242,Lewisham,,
00AZGL,Forest Hill,242,Lewisham,,
00AZGM,Grove Park,242,Lewisham,,
00AZGN,Ladywell,242,Lewisham,,
00AZGP,Lee Green,242,Lewisham,,
00AZGQ,Lewisham Central,242,Lewisham,,
00AZGR,New Cross,242,Lewisham,,
00AZGS,Perry Vale,242,Lewisham,,
00AZGT,Rushey Green,242,Lewisham,,
00AZGU,Sydenham,242,Lewisham,,
00AZGW,Telegraph Hill,242,Lewisham,,
00AZGX,Whitefoot,242,Lewisham,,
00BAFX,Abbey,244,Merton,,
00BAFY,Cannon Hill,244,Merton,,
00BAFZ,Colliers Wood,244,Merton,,
00BAGA,Cricket Green,244,Merton,,
00BAGB,Dundonald,244,Merton,,
00BAGC,Figge's Marsh,244,Merton,,
00BAGD,Graveney,244,Merton,,
00BAGE,Hillside,244,Merton,,
00BAGF,Lavender Fields,244,Merton,,
00BAGG,Longthornton,244,Merton,,
00BAGH,Lower Morden,244,Merton,,
00BAGJ,Merton Park,244,Merton,,
00BAGK,Pollards Hill,244,Merton,,
00BAGL,Ravensbury,244,Merton,,
00BAGM,Raynes Park,244,Merton,,
00BAGN,St Helier,244,Merton,,
00BAGP,Trinity,244,Merton,,
00BAGQ,Village,244,Merton,,
00BAGR,West Barnes,244,Merton,,
00BAGS,Wimbledon Park,244,Merton,,
00BBGB,Beckton,257,Newham,,
00BBGC,Boleyn,257,Newham,,
00BBGD,Canning Town North,257,Newham,,
00BBGE,Canning Town South,257,Newham,,
00BBGF,Custom House,257,Newham,,
00BBGG,East Ham Central,257,Newham,,
00BBGH,East Ham North,257,Newham,,
00BBGJ,East Ham South,257,Newham,,
00BBGK,Forest Gate North,257,Newham,,
00BBGL,Forest Gate South,257,Newham,,
00BBGM,Green Street East,257,Newham,,
00BBGN,Green Street West,257,Newham,,
00BBGP,Little Ilford,257,Newham,,
00BBGQ,Manor Park,257,Newham,,
00BBGR,Plaistow North,257,Newham,,
00BBGS,Plaistow South,257,Newham,,
00BBGT,Royal Docks,257,Newham,,
00BBGU,Stratford and New Town,257,Newham,,
00BBGW,Wall End,257,Newham,,
00BBGX,West Ham,257,Newham,,
00BCFY,Aldborough,247,Redbridge,,
00BCFZ,Barkingside,247,Redbridge,,
00BCGA,Bridge,247,Redbridge,,
00BCGB,Chadwell,247,Redbridge,,
00BCGC,Church End,247,Redbridge,,
00BCGD,Clayhall,247,Redbridge,,
00BCGE,Clementswood,247,Redbridge,,
00BCGF,Cranbrook,247,Redbridge,,
00BCGG,Fairlop,247,Redbridge,,
00BCGH,Fullwell,247,Redbridge,,
00BCGJ,Goodmayes,247,Redbridge,,
00BCGK,Hainault,247,Redbridge,,
00BCGL,Loxford,247,Redbridge,,
00BCGM,Mayfield,247,Redbridge,,
00BCGN,Monkhams,247,Redbridge,,
00BCGP,Newbury,247,Redbridge,,
00BCGQ,Roding,247,Redbridge,,
00BCGR,Seven Kings,247,Redbridge,,
00BCGS,Snaresbrook,247,Redbridge,,
00BCGT,Valentines,247,Redbridge,,
00BCGU,Wanstead,247,Redbridge,,
00BDFW,Barnes,248,Richmond upon Thames,,
00BDFX,East Sheen,248,Richmond upon Thames,,
00BDFY,Fulwell and Hampton Hill,248,Richmond upon Thames,,
00BDFZ,"Ham, Petersham and Richmond Riverside",248,Richmond upon Thames,,
00BDGA,Hampton,248,Richmond upon Thames,,
00BDGB,Hampton North,248,Richmond upon Thames,,
00BDGC,Hampton Wick,248,Richmond upon Thames,,
00BDGD,Heathfield,248,Richmond upon Thames,,
00BDGE,Kew,248,Richmond upon Thames,,
00BDGF,Mortlake and Barnes Common,248,Richmond upon Thames,,
00BDGG,North Richmond,248,Richmond upon Thames,,
00BDGH,St Margarets and North Twickenham,248,Richmond upon Thames,,
00BDGJ,South Richmond,248,Richmond upon Thames,,
00BDGK,South Twickenham,248,Richmond upon Thames,,
00BDGL,Teddington,248,Richmond upon Thames,,
00BDGM,Twickenham Riverside,248,Richmond upon Thames,,
00BDGN,West Twickenham,248,Richmond upon Thames,,
00BDGP,Whitton,248,Richmond upon Thames,,
00BEGC,Brunswick Park,251,Southwark,,
00BEGD,Camberwell Green,251,Southwark,,
00BEGE,Cathedrals,251,Southwark,,
00BEGF,Chaucer,251,Southwark,,
00BEGG,College,251,Southwark,,
00BEGH,East Dulwich,251,Southwark,,
00BEGJ,East Walworth,251,Southwark,,
00BEGK,Faraday,251,Southwark,,
00BEGL,Grange,251,Southwark,,
00BEGM,Livesey,251,Southwark,,
00BEGN,Newington,251,Southwark,,
00BEGP,Nunhead,251,Southwark,,
00BEGQ,Peckham,251,Southwark,,
00BEGR,Peckham Rye,251,Southwark,,
00BEGS,Riverside,251,Southwark,,
00BEGT,Rotherhithe,251,Southwark,,
00BEGU,South Bermondsey,251,Southwark,,
00BEGW,South Camberwell,251,Southwark,,
00BEGX,Surrey Docks,251,Southwark,,
00BEGY,The Lane,251,Southwark,,
00BEGZ,Village,251,Southwark,,
00BFGC,Beddington North,254,Sutton,,
00BFGD,Beddington South,254,Sutton,,
00BFGE,Belmont,254,Sutton,,
00BFGF,Carshalton Central,254,Sutton,,
00BFGG,Carshalton South and Clockhouse,254,Sutton,,
00BFGH,Cheam,254,Sutton,,
00BFGJ,Nonsuch,254,Sutton,,
00BFGK,St Helier,254,Sutton,,
00BFGL,Stonecot,254,Sutton,,
00BFGM,Sutton Central,254,Sutton,,
00BFGN,Sutton North,254,Sutton,,
00BFGP,Sutton South,254,Sutton,,
00BFGQ,Sutton West,254,Sutton,,
00BFGR,The Wrythe,254,Sutton,,
00BFGS,Wallington North,254,Sutton,,
00BFGT,Wallington South,254,Sutton,,
00BFGU,Wandle Valley,254,Sutton,,
00BFGW,Worcester Park,254,Sutton,,
00BGFW,Bethnal Green North,246,Tower Hamlets,,
00BGFX,Bethnal Green South,246,Tower Hamlets,,
00BGFY,Blackwall and Cubitt Town,246,Tower Hamlets,,
00BGFZ,Bow East,246,Tower Hamlets,,
00BGGA,Bow West,246,Tower Hamlets,,
00BGGB,Bromley-by-Bow,246,Tower Hamlets,,
00BGGC,East India and Lansbury,246,Tower Hamlets,,
00BGGD,Limehouse,246,Tower Hamlets,,
00BGGE,Mile End and Globe Town,246,Tower Hamlets,,
00BGGF,Mile End East,246,Tower Hamlets,,
00BGGG,Millwall,246,Tower Hamlets,,
00BGGH,St Dunstan's and Stepney Green,246,Tower Hamlets,,
00BGGJ,St Katharine's and Wapping,246,Tower Hamlets,,
00BGGK,Shadwell,246,Tower Hamlets,,
00BGGL,Spitalfields and Banglatown,246,Tower Hamlets,,
00BGGM,Weavers,246,Tower Hamlets,,
00BGGN,Whitechapel,246,Tower Hamlets,,
00BHFX,Cann Hall,255,Waltham Forest,,
00BHFY,Cathall,255,Waltham Forest,,
00BHFZ,Chapel End,255,Waltham Forest,,
00BHGA,Chingford Green,255,Waltham Forest,,
00BHGB,Endlebury,255,Waltham Forest,,
00BHGC,Forest,255,Waltham Forest,,
00BHGD,Grove Green,255,Waltham Forest,,
00BHGE,Hale End and Highams Park,255,Waltham Forest,,
00BHGF,Hatch Lane,255,Waltham Forest,,
00BHGG,High Street,255,Waltham Forest,,
00BHGH,Higham Hill,255,Waltham Forest,,
00BHGJ,Hoe Street,255,Waltham Forest,,
00BHGK,Larkswood,255,Waltham Forest,,
00BHGL,Lea Bridge,255,Waltham Forest,,
00BHGM,Leyton,255,Waltham Forest,,
00BHGN,Leytonstone,255,Waltham Forest,,
00BHGP,Markhouse,255,Waltham Forest,,
00BHGQ,Valley,255,Waltham Forest,,
00BHGR,William Morris,255,Waltham Forest,,
00BHGS,Wood Street,255,Waltham Forest,,
00BJFZ,Balham,256,Wandsworth,,
00BJGA,Bedford,256,Wandsworth,,
